,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
mean_fit_time,0.92207932472229,0.6461538791656494,0.6486289262771606,0.8101117849349976,0.9758792161941529,0.9283382892608643,0.7136879205703736,0.6554383516311646,0.794882869720459,0.9775842666625977,1.7684549331665038,0.8588911294937134,0.6606296539306641,0.796032190322876,0.9837419033050537
std_fit_time,0.06338846499595074,0.018516883767468045,0.011910554373285191,0.045852574952628164,0.02479861999906042,0.015039257142210341,0.01928978817385515,0.01439587079830384,0.01541880258129905,0.02382618379286259,0.052967972640148145,0.023037115222562587,0.014359646653033088,0.015815768739845294,0.02997439135982979
mean_score_time,0.21090328693389893,0.17546868324279785,0.1645880937576294,0.17492640018463135,0.18549888134002684,0.19354190826416015,0.14043207168579103,0.1481001377105713,0.16325204372406005,0.172765851020813,0.16682157516479493,0.1297631025314331,0.14976983070373534,0.16467347145080566,0.17909388542175292
std_score_time,0.009644026595522277,0.006614807158475383,0.006167912001403364,0.010040226461499884,0.012100362518986203,0.009828340901211628,0.005574726318900139,0.0012802888515431514,0.0009439148787763924,0.0015625463124209558,0.008537318820594204,0.010431727907341754,0.007887929758023887,0.0035555217219901585,0.010820287601007684
param_C,10,10,10,10,10,100,100,100,100,100,1000,1000,1000,1000,1000
param_gamma,0.01,0.1,0.3,0.5,0.7,0.01,0.1,0.3,0.5,0.7,0.01,0.1,0.3,0.5,0.7
param_kernel,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf
params,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}","{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 10, 'gamma': 0.3, 'kernel': 'rbf'}","{'C': 10, 'gamma': 0.5, 'kernel': 'rbf'}","{'C': 10, 'gamma': 0.7, 'kernel': 'rbf'}","{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}","{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 100, 'gamma': 0.3, 'kernel': 'rbf'}","{'C': 100, 'gamma': 0.5, 'kernel': 'rbf'}","{'C': 100, 'gamma': 0.7, 'kernel': 'rbf'}","{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}","{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 1000, 'gamma': 0.3, 'kernel': 'rbf'}","{'C': 1000, 'gamma': 0.5, 'kernel': 'rbf'}","{'C': 1000, 'gamma': 0.7, 'kernel': 'rbf'}"
split0_test_score,0.5402843601895735,0.8293838862559242,0.9360189573459715,0.9454976303317536,0.9454976303317536,0.6777251184834123,0.9360189573459715,0.9454976303317536,0.9407582938388626,0.9407582938388626,0.7464454976303317,0.9241706161137441,0.9407582938388626,0.9407582938388626,0.9407582938388626
split1_test_score,0.5260663507109005,0.8507109004739336,0.9360189573459715,0.9454976303317536,0.9383886255924171,0.6421800947867299,0.933649289099526,0.95260663507109,0.9407582938388626,0.9360189573459715,0.7417061611374408,0.9383886255924171,0.9454976303317536,0.9360189573459715,0.9360189573459715
split2_test_score,0.4928909952606635,0.8127962085308057,0.9312796208530806,0.9383886255924171,0.9454976303317536,0.6208530805687204,0.8981042654028436,0.9383886255924171,0.943127962085308,0.943127962085308,0.7227488151658767,0.9052132701421801,0.9360189573459715,0.943127962085308,0.943127962085308
split3_test_score,0.5284360189573459,0.8317535545023697,0.933649289099526,0.9407582938388626,0.9454976303317536,0.6113744075829384,0.9028436018957346,0.9549763033175356,0.95260663507109,0.95260663507109,0.7417061611374408,0.919431279620853,0.9502369668246445,0.9549763033175356,0.9549763033175356
split4_test_score,0.5379146919431279,0.8388625592417062,0.933649289099526,0.9360189573459715,0.943127962085308,0.6753554502369669,0.9170616113744076,0.9549763033175356,0.9502369668246445,0.943127962085308,0.7369668246445498,0.9265402843601895,0.95260663507109,0.9478672985781991,0.943127962085308
split5_test_score,0.523696682464455,0.8127962085308057,0.9170616113744076,0.9312796208530806,0.9360189573459715,0.6350710900473934,0.9052132701421801,0.9265402843601895,0.9383886255924171,0.9407582938388626,0.7369668246445498,0.9004739336492891,0.9312796208530806,0.9383886255924171,0.9407582938388626
split6_test_score,0.505938242280285,0.8527315914489311,0.9453681710213777,0.9524940617577197,0.9477434679334917,0.672209026128266,0.9121140142517815,0.9406175771971497,0.9524940617577197,0.9501187648456056,0.7695961995249406,0.9002375296912114,0.9382422802850356,0.9477434679334917,0.9501187648456056
split7_test_score,0.5225653206650831,0.7933491686460807,0.9073634204275535,0.9121140142517815,0.9263657957244655,0.6460807600950119,0.8883610451306413,0.9168646080760094,0.9216152019002375,0.9216152019002375,0.7220902612826603,0.8954869358669834,0.9216152019002375,0.9168646080760094,0.9216152019002375
split8_test_score,0.5391923990498813,0.8028503562945368,0.9073634204275535,0.9168646080760094,0.9144893111638955,0.6579572446555819,0.8954869358669834,0.9192399049881235,0.9192399049881235,0.9192399049881235,0.7410926365795725,0.8836104513064132,0.9168646080760094,0.9216152019002375,0.9168646080760094
split9_test_score,0.505938242280285,0.8171021377672208,0.9026128266033254,0.9263657957244655,0.9192399049881235,0.6247030878859857,0.8788598574821853,0.9121140142517815,0.9287410926365796,0.9216152019002375,0.7173396674584323,0.8859857482185273,0.9121140142517815,0.9239904988123515,0.9216152019002375
